AoA,AoA_corr,AoS,dR,dE,V,AoA_round,AoS_round,V_round,CL_uncorrected,CL,CD_uncorrected,CD,CYaw,CMroll_uncorrected,CMroll,CMpitch_uncorrected,CMpitch,CMyaw_uncorrected,CMyaw
0.002,0.4854196172295847,-10.0,-20,-10,19.995018438619876,0.0,-10.0,20.0,0.1670985203175844,0.14603168218614812,0.1176808292863617,0.0889790264678625,-0.1863993196452865,0.0451672976551738,0.03837281255983297,0.1857033993448248,0.22059873517460846,0.061049672859558,0.052365478366192104
0.005,0.48841961722958466,-10.0,-20,-10,20.00891849149148,0.0,-10.0,20.0,0.1665465654517229,0.14548853773143292,0.1177352286214507,0.08903088683684854,-0.18640891733406847,0.0451834116380795,0.03838797355495184,0.1860197042148652,0.22090501154421632,0.0611637440603441,0.05247637978757377
2.492,3.3328308480635673,-10.0,-20,-10,19.991919209860885,2.5,-10.0,20.0,0.4414440521235256,0.41916119360917686,0.1197036273430976,0.09294369492455112,-0.18707424825231658,0.0455926674838313,0.03879475949402074,0.0910509530351301,0.12820230504716076,0.0636243290903521,0.055135089352419515
5.0,6.198242078897549,-10.0,-20,-10,19.983005958181973,5.0,-10.0,20.0,0.7034693197868341,0.6816619591853543,0.1270710353445505,0.10360662874934948,-0.18456834816101958,0.0453348160524338,0.03870827039392321,0.0089536082825216,0.045005875851477445,0.0648537017859119,0.05639517681289278
7.0,8.484171063564736,-10.0,-20,-10,19.98800850464144,7.0,-10.0,20.0,0.8864849720778255,0.8607478580788956,0.1351314709046347,0.11663086883063582,-0.17546487242053868,0.0435113315701976,0.03574049048302878,-0.0405565754159009,-0.006484559779003198,0.0626353490349165,0.05392322210405893
8.0,9.627135555898327,-10.0,-20,-10,19.99438648402602,8.0,-10.0,20.0,0.9723047159766104,0.9441676554860029,0.1424636218167897,0.1273386458760432,-0.1741201802182782,0.0441454419548462,0.03606844522974804,-0.0820036336569878,-0.049301315011424006,0.0632092262228913,0.05429021099192404
10.0,11.913064540565514,-10.0,-20,-10,19.989449226446386,10.0,-10.0,20.0,1.0623367441318137,1.0483753770412665,0.1719420667984921,0.15587955268253328,-0.15574849170265845,0.037902874450049,0.029351944947048833,-0.2351762744340242,-0.19665487805975393,0.0591517555588083,0.050798283041742186
12.0,14.1989935252327,-10.0,-20,-10,19.98816824027108,12.0,-10.0,20.0,1.1398488885037408,1.0909185603997225,0.2033234575359956,0.19115120859950485,-0.13974670647615575,0.0301858205765081,0.02105777177770591,-0.3456363565790358,-0.3054108097327907,0.0544972761099655,0.04633536153241458
0.003,0.4864196172295847,-10.0,-10,-10,20.00138968204786,0.0,-10.0,20.0,0.1781339881069804,0.15694499687678268,0.1038558929162493,0.07548253232716552,-0.16100857316361514,0.0381452942737783,0.031513565330611844,0.1444891065809983,0.18033709670053683,0.049534376546938,0.04111026962936807
0.006,0.48941961722958466,-10.0,-10,-10,20.025133442666338,0.0,-10.0,20.0,0.178225765358767,0.15704162386410903,0.103693591840998,0.07532655350392237,-0.16066732466799563,0.0379423804335935,0.03131595944037997,0.1470198377882524,0.1828258250974018,0.0494738996897256,0.04105271199246258
2.492,3.3328308480635673,-10.0,-10,-10,19.99081337555951,2.5,-10.0,20.0,0.4525324095849286,0.43037730111981914,0.105803852712978,0.07935988288388035,-0.16037311483105934,0.0383506213251544,0.03171114415770447,0.052932237629061,0.09085962538520109,0.0511520797687599,0.04292667878513119
5.0,6.198242078897549,-10.0,-10,-10,19.98400657877036,5.0,-10.0,20.0,0.7144072230699623,0.6929133993037009,0.1133710376881527,0.09022127440336519,-0.15571708628314226,0.0378393067486112,0.03137411443394276,-0.0259620852636789,0.010742487969142263,0.0510665142710972,0.04289379936940458
7.0,8.484171063564736,-10.0,-10,-10,19.986356848712973,7.0,-10.0,20.0,0.8956973238856957,0.8704374703120531,0.121707089095757,0.10352343287849564,-0.14455482133526404,0.0359854563392001,0.028374304420434152,-0.0714233993311512,-0.03680866971442413,0.0478084976107899,0.03939874474167036
