V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
39.5,-4.0,0,20,0.051876760792543865,0.060930887632277976,0.8811763476423918,
39.5,-4.0,10,-20,0.056043619216062386,0.06140396065822801,0.8911043433721362,
39.5,-4.0,10,-10,0.049661268830354155,0.06220315509051254,0.8959222635589266,
39.5,-4.0,10,0,0.04753555151074563,0.0629545400334784,0.8985661127953218,
39.5,-4.0,10,10,0.046719807736033445,0.0626468195709786,0.8977525525759376,
39.5,-4.0,10,20,0.04940575719850742,0.06259285446160674,0.9009263428750657,
39.5,0.0,-20,0,0.05703539767239099,0.07177359678350184,0.8421117512788977,
39.5,0.0,-15,0,0.0506862984042093,0.07255718381740198,0.8618974035043996,
39.5,0.0,-10,-20,0.05535667598429736,0.059965976687553935,0.8651713979084434,
39.5,0.0,-10,-10,0.04514501763089018,0.06406182187788398,0.8600341186008816,
39.5,0.0,-10,0,0.04521423409816815,0.07043860773069596,0.8541268754939195,
39.5,0.0,-10,10,0.04832148578240485,0.06032827631073292,0.8637894402701907,
39.5,0.0,-10,20,0.051732983294715824,0.06357727770562034,0.8615495384703468,
39.5,0.0,-5,0,0.043102008763865454,0.07275339339180024,0.8774817289106707,
39.5,0.0,0,-20,0.046395744856795554,0.06177776696593252,0.8857623808391696,
39.5,0.0,0,-10,0.04392763165253532,0.06217242797683196,0.8840706123661568,
39.5,0.0,0,0,0.04066649805580672,0.07019373776545978,0.8835283992866543,
39.5,0.0,0,10,0.04476334572362003,0.06207172112589639,0.8839973675496671,
