AoA [deg],AoS [deg],AoA_round,AoS_round,CD,CYaw,CL,CMroll,CMpitch,CMyaw
5.5,-6.0,5.5,-6,0.0113625,-0.04773227513227513,0.004919512195121951,0.013046428571428572,-0.005023365384615385,0.0192
6.0,-6.0,6.0,-6,0.011000000000000001,-0.048850000000000005,0.004449999999999999,0.0134,-0.00455,0.0193
6.5,-6.0,6.5,-6,0.01047142857142857,-0.04895343915343915,0.005092857142857142,0.013725,-0.003782614345114345,0.01935
7.0,-6.0,7.0,-6,0.009800000000000001,-0.04905,0.00595,0.014,-0.00285,0.0194
7.5,-6.0,7.5,-6,0.00882857142857143,-0.04954937888198758,0.006357142857142856,0.0142,-0.0016202702702702715,0.0195
8.0,-6.0,8.0,-6,0.0082,-0.05025,0.00655,0.0143,-0.0008500000000000001,0.0196
8.5,-6.0,8.5,-6,0.009409183673469388,-0.05094347826086957,-0.001087198795180721,0.0143,-0.001097058823529412,0.019666666666666666
9.0,-6.0,9.0,-6,0.0112,-0.05135,-0.00915,0.0143,-0.0016500000000000004,0.0197
9.5,-6.0,9.5,-6,0.012440816326530614,-0.0509225,-0.009812801204819277,0.014578571428571429,-0.003102941176470588,0.0194375
10.0,-6.0,10.0,-6,0.013100000000000002,-0.05045,-0.010050000000000002,0.0149,-0.00425,0.0191
10.5,-6.0,10.5,-6,0.01265,-0.050377500000000006,-0.00414804104477612,0.014950595238095239,-0.003000000000000001,0.0189875
11.0,-6.0,11.0,-6,0.0122,-0.05035,0.005049999999999999,0.015,-0.0017499999999999998,0.0189
11.5,-6.0,11.5,-6,0.012342857142857143,-0.0504,0.0110371939373381,0.015208333333333332,-0.001912328767123288,0.018805
12.0,-6.0,12.0,-6,0.012700000000000001,-0.05045,0.016749999999999998,0.0155,-0.0023499999999999997,0.018699999999999998
12.5,-6.0,12.5,-6,0.01430714285714286,-0.05035,0.023753271349862253,0.01575,-0.005837671232876712,0.01852
13.0,-6.0,13.0,-6,0.0157,-0.05025,0.029249999999999995,0.016,-0.00905,0.0184
13.5,-6.0,13.5,-6,0.015575,-0.05033125,0.03200757575757575,0.01625,-0.007218750000000001,0.0184125
14.0,-6.0,14.0,-6,0.0147,-0.05055,0.03325,0.0165,-0.0018499999999999992,0.0185
-5.0,-5.0,-5.0,-5,0.007299999999999999,-0.03155,0.022850000000000006,0.009300000000000001,0.004149999999999999,0.0159
-4.5,-5.0,-4.5,-5,0.00771,-0.030275000000000003,0.02088185975609756,0.009330000000000001,0.0030332770270270265,0.016
-4.0,-5.0,-4.0,-5,0.007999999999999998,-0.02985,0.019649999999999997,0.0094,0.0020499999999999997,0.0161
-3.5,-5.0,-3.5,-5,0.008159642857142857,-0.03046025641025641,0.019148140243902444,0.009577142857142859,0.0012499999999999994,0.016195
-3.0,-5.0,-3.0,-5,0.0083,-0.03155,0.01875,0.009800000000000001,0.0004499999999999999,0.016300000000000002
-2.5,-5.0,-2.5,-5,0.008499999999999999,-0.03266677061677062,0.01818319444444445,0.009974107142857144,-0.0006170270270270273,0.01646125
-2.0,-5.0,-2.0,-5,0.008700000000000001,-0.03375,0.017650000000000002,0.010100000000000001,-0.0016500000000000004,0.0166
-1.5,-5.0,-1.5,-5,0.008862857142857143,-0.03458234797297297,0.01728055555555556,0.010152083333333334,-0.002454999999999999,0.01666875
-1.0,-5.0,-1.0,-5,0.009,-0.035250000000000004,0.016950000000000003,0.0102,-0.0030500000000000006,0.016700000000000003
-0.5,-5.0,-0.5,-5,0.009105,-0.035840625,0.016638499999999997,0.010316666666666668,-0.0033799999999999993,0.016700000000000003
0.0,-5.0,0.0,-5,0.009200000000000002,-0.03615,0.016249999999999997,0.010400000000000001,-0.0036500000000000005,0.016700000000000003
